_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
20001,ET,268,2015-06
20002,NY,386,2015-06
20003,SC,346,2015-06
20004,TO,927,2015-06
20005,ET,317,2015-07
20006,NY,387,2015-07
20007,SC,390,2015-07
20008,TO,1090,2015-07
20009,ET,264,2015-08
20010,NY,336,2015-08
20011,SC,325,2015-08
20012,TO,930,2015-08
20013,ET,174,2015-09
20014,NY,251,2015-09
20015,SC,253,2015-09
20016,TO,713,2015-09
20017,ET,135,2015-10
20018,NY,211,2015-10
20019,SC,186,2015-10
20020,TO,478,2015-10
20021,ET,91,2015-11
20022,NY,176,2015-11
20023,SC,149,2015-11
20024,TO,342,2015-11
20025,ET,104,2015-12
20026,NY,169,2015-12
20027,SC,144,2015-12
20028,TO,335,2015-12
20029,ET,92,2016-01
20030,NY,156,2016-01
20031,SC,131,2016-01
20032,TO,346,2016-01
20033,ET,123,2016-02
20034,NY,170,2016-02
20035,SC,173,2016-02
20036,TO,364,2016-02
20037,ET,155,2016-03
20038,NY,197,2016-03
20039,SC,204,2016-03
20040,TO,517,2016-03
20041,ET,197,2016-04
20042,NY,257,2016-04
20043,SC,246,2016-04
20044,TO,695,2016-04
20045,ET,247,2016-05
20046,NY,326,2016-05
20047,SC,306,2016-05
20048,TO,895,2016-05
20049,ET,255,2016-06
20050,NY,344,2016-06
20051,SC,341,2016-06
20052,TO,1071,2016-06
20053,ET,274,2016-07
20054,NY,384,2016-07
20055,SC,348,2016-07
20056,TO,1041,2016-07
20057,ET,296,2016-08
20058,NY,358,2016-08
20059,SC,333,2016-08
20060,TO,1072,2016-08
20061,ET,228,2016-09
20062,NY,265,2016-09
20063,SC,207,2016-09
20064,TO,656,2016-09
20065,ET,139,2016-10
20066,NY,187,2016-10
20067,SC,171,2016-10
20068,TO,489,2016-10
20069,ET,82,2016-11
20070,NY,148,2016-11
20071,SC,135,2016-11
20072,TO,388,2016-11
20073,ET,96,2016-12
20074,NY,164,2016-12
20075,SC,125,2016-12
20076,TO,362,2016-12
20077,ET,102,2017-01
